Game,Number,Times Drawn,Pool,Drawings,Expected,Lower Band,Upper Band,Deviation,Percent From Expected,Within Chance Band
Mega Millions,23,39,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-9.214285714285708,-19.1111111111111,True
Mega Millions,24,49,70,675,48.21428571428571,28.141077862290857,68.28749356628056,0.7857142857142918,1.6296296296296424,True
Mega Millions,25,51,70,675,48.21428571428571,28.141077862290857,68.28749356628056,2.785714285714292,5.777777777777791,True
Mega Millions,26,48,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-0.2142857142857082,-0.4444444444444319,True
Mega Millions,27,45,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-3.214285714285708,-6.666666666666655,True
Mega Millions,28,47,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-1.2142857142857082,-2.518518518518506,True
Mega Millions,29,57,70,675,48.21428571428571,28.141077862290857,68.28749356628056,8.785714285714292,18.222222222222236,True
Mega Millions,30,50,70,675,48.21428571428571,28.141077862290857,68.28749356628056,1.7857142857142918,3.7037037037037166,True
Mega Millions,31,59,70,675,48.21428571428571,28.141077862290857,68.28749356628056,10.785714285714292,22.370370370370384,True
Mega Millions,32,46,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-2.214285714285708,-4.592592592592581,True
Mega Millions,33,49,70,675,48.21428571428571,28.141077862290857,68.28749356628056,0.7857142857142918,1.6296296296296424,True
Mega Millions,34,46,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-2.214285714285708,-4.592592592592581,True
Mega Millions,35,39,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-9.214285714285708,-19.1111111111111,True
Mega Millions,36,41,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-7.214285714285708,-14.962962962962953,True
Mega Millions,37,47,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-1.2142857142857082,-2.518518518518506,True
Mega Millions,38,58,70,675,48.21428571428571,28.141077862290857,68.28749356628056,9.785714285714292,20.296296296296312,True
Mega Millions,39,44,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-4.214285714285708,-8.74074074074073,True
Mega Millions,40,49,70,675,48.21428571428571,28.141077862290857,68.28749356628056,0.7857142857142918,1.6296296296296424,True
Mega Millions,41,43,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-5.214285714285708,-10.814814814814804,True
Mega Millions,42,53,70,675,48.21428571428571,28.141077862290857,68.28749356628056,4.785714285714292,9.92592592592594,True
Mega Millions,43,53,70,675,48.21428571428571,28.141077862290857,68.28749356628056,4.785714285714292,9.92592592592594,True
Mega Millions,44,54,70,675,48.21428571428571,28.141077862290857,68.28749356628056,5.785714285714292,12.000000000000014,True
Mega Millions,45,42,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-6.214285714285708,-12.888888888888877,True
Mega Millions,46,59,70,675,48.21428571428571,28.141077862290857,68.28749356628056,10.785714285714292,22.370370370370384,True
Mega Millions,47,44,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-4.214285714285708,-8.74074074074073,True
Mega Millions,48,48,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-0.2142857142857082,-0.4444444444444319,True
Mega Millions,49,34,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-14.214285714285708,-29.481481481481474,True
Mega Millions,50,39,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-9.214285714285708,-19.1111111111111,True
Mega Millions,51,35,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-13.214285714285708,-27.407407407407398,True
Mega Millions,52,46,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-2.214285714285708,-4.592592592592581,True
Mega Millions,53,51,70,675,48.21428571428571,28.141077862290857,68.28749356628056,2.785714285714292,5.777777777777791,True
Mega Millions,54,42,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-6.214285714285708,-12.888888888888877,True
Mega Millions,55,40,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-8.214285714285708,-17.037037037037024,True
Mega Millions,56,42,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-6.214285714285708,-12.888888888888877,True
Mega Millions,57,47,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-1.2142857142857082,-2.518518518518506,True
Mega Millions,58,52,70,675,48.21428571428571,28.141077862290857,68.28749356628056,3.785714285714292,7.851851851851865,True
Mega Millions,59,53,70,675,48.21428571428571,28.141077862290857,68.28749356628056,4.785714285714292,9.92592592592594,True
Mega Millions,60,42,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-6.214285714285708,-12.888888888888877,True
Mega Millions,61,52,70,675,48.21428571428571,28.141077862290857,68.28749356628056,3.785714285714292,7.851851851851865,True
Mega Millions,62,50,70,675,48.21428571428571,28.141077862290857,68.28749356628056,1.7857142857142918,3.7037037037037166,True
Mega Millions,63,42,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-6.214285714285708,-12.888888888888877,True
Mega Millions,64,58,70,675,48.21428571428571,28.141077862290857,68.28749356628056,9.785714285714292,20.296296296296312,True
Mega Millions,65,36,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-12.214285714285708,-25.333333333333325,True
Mega Millions,66,51,70,675,48.21428571428571,28.141077862290857,68.28749356628056,2.785714285714292,5.777777777777791,True
Mega Millions,67,40,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-8.214285714285708,-17.037037037037024,True
Mega Millions,68,45,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-3.214285714285708,-6.666666666666655,True
Mega Millions,69,43,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-5.214285714285708,-10.814814814814804,True
Mega Millions,70,48,70,675,48.21428571428571,28.141077862290857,68.28749356628056,-0.2142857142857082,-0.4444444444444319,True
Pick 10,1,3374,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-18.5,-0.5453205600589536,True
Pick 10,2,3426,80,13570,3392.5,3241.1746055680014,3543.8253944319986,33.5,0.9874723655121592,True
Pick 10,3,3442,80,13570,3392.5,3241.1746055680014,3543.8253944319986,49.5,1.4591009579955785,True
Pick 10,4,3447,80,13570,3392.5,3241.1746055680014,3543.8253944319986,54.5,1.6064848931466469,True
Pick 10,5,3354,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-38.5,-1.1348563006632277,True
Pick 10,6,3427,80,13570,3392.5,3241.1746055680014,3543.8253944319986,34.5,1.0169491525423728,True
